Epoch,CNN_mae,L_13_mae,L_9_mae,L_5_mae,NFS_mae,CNN_mse,L_13_mse,L_9_mse,L_5_mse,NFS_mse,CNN_msssim,L_13_msssim,L_9_msssim,L_5_msssim,NFS_msssim,CNN_wasserstein,L_13_wasserstein,L_9_wasserstein,L_5_wasserstein,NFS_wasserstein
43,1.15815904736519,1.37785810232162,1.35150334984064,1.33863975852728,1.43978230655193,2.39817644655704,3.29435597360134,3.18775299191475,3.11682268977165,3.59912742674351,0.865346577018499,0.818191833794117,0.826462008059025,0.822545424103737,0.802291374653578,-1.9735424e-05,96.97533,89.999695,82.92824,132.86829
44,1.15549489855766,1.36193040013313,1.34487853199244,1.33647447824478,1.43304067850113,2.38984858989716,3.23338145017624,3.15659639239311,3.11519874632358,3.56891418993473,0.865224789828062,0.822446115314961,0.825866024941206,0.824393548071384,0.804811954498291,-1.7612474e-05,102.550705,90.68747,86.385,125.18616
45,1.15359792858362,1.36791169643402,1.34259408712387,1.33161242306232,1.43639145046473,2.37831193208694,3.26059497892857,3.14786607027054,3.09279917180538,3.575514793396,0.866903971880674,0.822900589555502,0.826420027762651,0.824745193123817,0.807516545057297,-2.254825e-05,92.32051,92.22134,85.36487,119.96588
46,1.15614651143551,1.36283840984106,1.33806854486465,1.33060322701931,1.43954065442085,2.38946858048439,3.24325314164162,3.12427116930485,3.08803942799568,3.57581083476543,0.865061096847057,0.823912657797337,0.828291945159435,0.825934801250696,0.802909888327122,-2.3024157e-05,96.7503,92.01458,80.50282,125.16019
47,1.1508953794837,1.36062727123499,1.3397620767355,1.32834280282259,1.44238985329866,2.36994907259941,3.22780650854111,3.14137624204159,3.07862932980061,3.61693301796913,0.865465175360441,0.821879159659147,0.829042188823223,0.826008502393961,0.807018306106329,-1.6388716e-05,93.493195,86.40351,84.64808,114.05148
48,1.14861156791449,1.35343141853809,1.33429263532162,1.324871763587,1.44915857166052,2.36494208872318,3.19507238268852,3.10468372702599,3.05931924283504,3.64577658474445,0.867302119731903,0.825070913881063,0.830292783677578,0.827325031161308,0.808097332715988,-2.0907843e-05,96.36776,87.24945,82.80622,115.02204
49,1.15071573853493,1.3524543941021,1.33371398597956,1.32699902355671,1.4438806399703,2.36947463452816,3.19383950531483,3.10452315211296,3.07526233792305,3.61667968332767,0.867345780134201,0.825241707265377,0.829763289541006,0.828444268554449,0.806649670004845,-1.1933385e-05,97.10679,87.0089,84.67909,120.1656
50,1.14668997377157,1.35422801971436,1.32388319075108,1.32227443903685,1.41939866542816,2.35198926925659,3.20103725790977,3.06803619861603,3.04756557941437,3.49856123328209,0.868521705269813,0.825708542019129,0.831991460174322,0.828698895871639,0.807229772210121,-1.2483913e-05,90.90393,89.38563,83.570496,118.19881
51,1.14330960065126,1.35051561892033,1.3301065787673,1.31832943856716,1.4218021556735,2.34338380396366,3.17695747315884,3.09046366810799,3.03358328342438,3.51885907351971,0.868842944502831,0.825266402214765,0.830991454422474,0.829674411565065,0.809156067669392,-1.2793695e-05,95.75568,87.2658,85.87718,126.3172
52,1.14210473001003,1.34466513246298,1.33072552829981,1.32344875484705,1.43142337352037,2.33752632141113,3.15441432595253,3.09231919050217,3.05326110124588,3.56017012894154,0.868235975503922,0.826636310666799,0.831558231264353,0.829249586910009,0.809367708861828,-1.4708843e-05,94.35473,88.77731,81.118484,118.504105
53,1.14049340039492,1.34514462947845,1.33269003033638,1.31697107851505,1.41570157557726,2.32858215272427,3.16221864521503,3.10395416617393,3.02576880156994,3.47673052549362,0.870119478553534,0.827806144952774,0.830510415136814,0.831122774630785,0.808608148247004,-1.528766e-05,89.29421,85.325516,79.89873,116.34358
54,1.14188670367002,1.34555625915527,1.32555568963289,1.31420528143644,1.40602649748325,2.34050846099854,3.15519146621227,3.07182924449444,3.01585476100445,3.44282267987728,0.86930126324296,0.827015642076731,0.832518067210913,0.831441432237625,0.811420541256666,-2.555165e-05,89.0889,87.40015,82.13783,114.2608
55,1.14052145183086,1.35082703083754,1.32502412050962,1.309968970716,1.40024390816689,2.3303544819355,3.18515995144844,3.06734123826027,2.99619527161121,3.40617641806603,0.869173791259527,0.830451246351004,0.833038151264191,0.832225318998098,0.815831787884235,-1.1306722e-05,87.91858,87.58038,80.33548,119.678116
56,1.13416886329651,1.34320822358131,1.32146401703358,1.31767328828573,1.39839648455381,2.30627447366714,3.15110152959824,3.05166772007942,3.02498956024647,3.40706433355808,0.870799280703068,0.82919891923666,0.833347994834185,0.83134700730443,0.815889440476894,-1.501455e-05,85.09392,83.594666,79.289536,111.20596
57,1.1349475607276,1.33440351486206,1.3233308494091,1.30876475572586,1.3965942710638,2.31296089291573,3.11615988612175,3.06390409171581,2.99105480313301,3.39414565265179,0.87033474445343,0.831651724874973,0.833106838166714,0.832884099334478,0.814692873507738,-1.414679e-05,94.00302,82.259705,79.64894,116.747444
58,1.13185083121061,1.33861044794321,1.31768671423197,1.30908098071814,1.40410315990448,2.30151376128197,3.13166299462318,3.03755980730057,2.994165122509,3.43817718327045,0.869543850421906,0.829486679285765,0.834879785776138,0.832484673708677,0.814767546951771,-1.1750264e-05,87.94389,80.513016,78.33536,107.82614
59,1.13565314561129,1.34160178899765,1.31844570487738,1.30629217624664,1.39478074014187,2.31016598641872,3.1440703868866,3.03991873562336,2.98247213661671,3.39308550953865,0.870788417756557,0.828627940267324,0.836590182036161,0.834370702505112,0.817907616496086,-8.5958745e-06,89.903076,81.53252,76.55031,116.19673
60,1.13191925734282,1.33205033093691,1.31189930438995,1.29930052161217,1.39210589230061,2.29925347864628,3.09836401045322,3.00801263749599,2.95037560164928,3.37583735585213,0.870360288769007,0.831620816141367,0.835645120590925,0.83526498824358,0.818000599741936,-1.5373924e-05,92.56813,79.634,78.45825,109.91887
61,1.12984887510538,1.32560282200575,1.31426224857569,1.3035836815834,1.38940267264843,2.2916472107172,3.0657314658165,3.01513728499413,2.96472395956516,3.36164101958275,0.871861796826124,0.832605145871639,0.834299042820931,0.834741853177547,0.821042317897081,-1.0062591e-05,89.03214,82.98121,78.92009,107.97598
62,1.13040152937174,1.32912066578865,1.31236486881971,1.2990081012249,1.38386598974466,2.29441736638546,3.08408398926258,3.01314057409763,2.94842284917831,3.32950495183468,0.872094996273518,0.831256832927465,0.836576085537672,0.835388343781233,0.819124363362789,-1.0867836e-05,90.07602,81.477005,74.00401,109.8034
63,1.12646482884884,1.33099851757288,1.30846621841192,1.29671566188335,1.38170805573463,2.28120325505733,3.09927009046078,2.99864284694195,2.93557432293892,3.31904479861259,0.87198132276535,0.833194017410278,0.837493102997541,0.83564929664135,0.823857996612787,-1.1410448e-05,88.43407,78.74198,79.674194,105.91699
64,1.12856688350439,1.33023741841316,1.30821856856346,1.2968612164259,1.38797210156918,2.29062832891941,3.09642721712589,2.99393126368523,2.94042073190212,3.35959853231907,0.872251108288765,0.83388390019536,0.837730661034584,0.836458090692759,0.82186096906662,-1.564005e-05,90.74289,80.864975,78.49153,107.984474
65,1.12662850320339,1.32632426917553,1.31387290358543,1.29685909301043,1.38330078870058,2.28119921684265,3.07808960974216,3.0214496999979,2.93783344328403,3.32854741811752,0.872435182332993,0.834967117756605,0.836509075015783,0.837044667452574,0.820631206035614,-2.0020758e-05,84.1958,79.73753,75.82878,103.24542
66,1.12462776899338,1.32091047614813,1.30568939447403,1.29400480538607,1.3800143674016,2.27147795259952,3.05339157581329,2.98461869359016,2.92775484919548,3.31751841306686,0.873114638030529,0.835883300751448,0.838788669556379,0.836689345538616,0.821516964584589,-1.3931538e-05,88.20079,79.64879,76.07886,100.68927
67,1.12755793333054,1.32953917980194,1.30831782519817,1.29544012248516,1.37064395099878,2.28801493346691,3.08536110818386,2.99212330579758,2.93845334649086,3.26708021759987,0.872573718428612,0.83423225954175,0.837393540889025,0.838190402835608,0.822881687432527,-9.672716e-06,85.33518,79.42183,74.704926,100.549515
68,1.12385662645102,1.31531256437302,1.30303107202053,1.28961265832186,1.36549925804138,2.27224107086658,3.03005704283714,2.97428147494793,2.90904068946838,3.2494610697031,0.872663110494614,0.837678402662277,0.839355487376452,0.838989786803722,0.82330047339201,-1.5191035e-05,90.42439,74.10382,78.0544,96.284546
69,1.12284433096647,1.32454217225313,1.3049129024148,1.29321936517954,1.37103167176247,2.26744601130486,3.07328970730305,2.98043045401573,2.92534907162189,3.27333921194077,0.873096812516451,0.836244866251946,0.83864239230752,0.839641492813826,0.822536561638117,-1.577253e-05,86.92354,76.440475,74.18598,111.2168
70,1.12201820313931,1.32323002815247,1.30566164851189,1.29293569922447,1.36828537285328,2.26511520147324,3.06385424733162,2.9894771873951,2.92278204858303,3.25577986240387,0.873157780617476,0.835831645876169,0.838049363344908,0.838414009660482,0.826501995325089,-1.0424177e-05,85.768936,80.3919,70.77748,99.18335
71,1.12131360918283,1.31747597455978,1.30798888206482,1.28356102108955,1.3783183246851,2.26137222349644,3.0385477989912,2.99305355548859,2.88291919231415,3.30186554789543,0.872999679297209,0.837357599288225,0.838768765330315,0.840509787201881,0.821941364556551,-1.886522e-05,84.17831,73.98189,74.566345,95.704765
72,1.12023189663887,1.32016971707344,1.2996992841363,1.2835251763463,1.37257288396359,2.2591642588377,3.04608115553856,2.96046487987041,2.8805758357048,3.27734473347664,0.875234723091126,0.837048064917326,0.838400490581989,0.840953126549721,0.824161980301142,-1.3887067e-05,82.94065,76.99186,69.902466,90.375656
